lat,lon,name,province,field_id
44.11578622,-110.6956334,538326,Snake_River_Plain,246
44.15385473,-115.3005938,540044,Snake_River_Plain,247
44.16816801,-122.0932139,540651,Cascades,248
44.17162899,-114.62463,540834,Snake_River_Plain,249
44.26183333,-114.7494726,544851,Snake_River_Plain,250
44.29906801,-117.0576491,546518,Other,251
44.30366662,-116.7566448,546695,Other,252
44.36704723,-115.8541391,549493,Snake_River_Plain,253
44.41966414,-116.0308013,551824,Other,254
44.46212711,-110.8233917,553738,Snake_River_Plain,255
44.56593883,-115.6804393,558293,Snake_River_Plain,256
44.62859117,-110.4337643,561056,Snake_River_Plain,257
44.68760292,-116.2370811,563644,Other,258
44.78762388,-121.9848743,568067,Cascades,259
44.86459021,-121.2065415,571422,Cascades,260
44.97594224,-116.191983,576290,Other,261
45.00985441,-113.6048316,577778,Snake_River_Plain,262
45.02083306,-122.0105993,578286,Cascades,263
45.02647899,-117.6143373,578511,Other,264
45.32172354,-114.311849,591358,Snake_River_Plain,265
45.34035724,-114.4391608,592180,Snake_River_Plain,266
45.3722056,-111.7590773,593538,Snake_River_Plain,267
45.37980417,-121.71783,593908,Cascades,268
45.40818819,-116.174618,595091,Other,269
45.56819758,-111.672148,601974,Snake_River_Plain,270
45.69083039,-112.281475,607235,Snake_River_Plain,271
45.79175225,-115.2057039,611580,Snake_River_Plain,272
46.04350978,-112.807916,622312,Rocky_Mountain,273
46.19188155,-112.1044546,628601,Rocky_Mountain,274
46.44188939,-111.9889339,639161,Rocky_Mountain,275
46.58914374,-112.1119377,645371,Rocky_Mountain,276
46.74431081,-121.5524661,651890,Cascades,277
46.75709461,-112.3650913,652436,Rocky_Mountain,278
48.16512823,-121.0373229,711840,Cascades,279
