lat,lon,spring_T
44.2606,-121.2631,11.73
37.2829,-104.8468,
37.2829,-104.8468,
37.2829,-104.8468,
37.2829,-104.8468,
43.4365543,-119.019345,11.49
43.4365543,-119.019345,11.49
43.4365543,-119.019345,11.49
31.8847249,-103.5081445,
36.63,-108.8607,
31.581192,-103.0196293,
31.7349316,-103.0680693,
31.6360578,-103.0020099,
33.6133447,-116.2691403,
38.7867599,-112.6940954,
38.9651748,-122.8950801,
31.9995832,-103.7166307,
32.1657205,-103.0536006,
44.4336257,-121.2958297,
31.6899835,-103.0310957,
31.6625283,-103.0342024,
31.7725818,-103.0753575,
31.9247675,-103.9564891,
38.1104682,-113.1278004,
38.1104682,-113.1278004,
38.1104682,-113.1278004,
38.1104682,-113.1278004,
41.1382109,-114.9641906,113.0
41.1382109,-114.9641906,113.0
41.1382109,-114.9641906,113.0
41.1382109,-114.9641906,113.0
31.9554078,-104.0596068,
31.897424,-103.9895037,
31.9556144,-103.057222,
33.9333927,-106.521575,
33.9333927,-106.521575,
33.9333927,-106.521575,
33.9333927,-106.521575,
31.8204492,-106.1685517,
31.9814777,-103.1275548,
31.8024755,-103.1648314,
31.3550143,-103.2356305,
31.6254608,-103.4491753,
31.9829378,-104.2153538,
42.625407,-113.5003671,14.82
33.9080875,-107.7335093,
41.6531,-106.1239,
31.4075663,-103.3818306,
31.6111683,-103.0949395,
45.6465179,-121.469959,12.29
37.2999,-104.8158,
37.2999,-104.8158,
37.2999,-104.8158,
37.2999,-104.8158,
31.089571,-103.599398,
31.46554,-103.0197631,
31.9765146,-103.6438,
31.4131343,-103.0840085,
31.6249154,-103.0315938,
39.5266039,-118.5526711,135.0
39.5266039,-118.5526711,135.0
31.9536008,-103.7743202,
36.66,-107.7506,
38.7231621,-112.5225897,
31.9236469,-103.6034523,
43.9790331,-117.2301678,109.0
38.2569673,-112.8941953,
38.2569673,-112.8941953,
38.2569673,-112.8941953,
38.2569673,-112.8941953,
32.2959331,-106.8638741,
32.2959331,-106.8638741,
32.2959331,-106.8638741,
32.2959331,-106.8638741,
31.7796376,-103.5583829,
44.7956177,-121.8844539,8.25
44.7956177,-121.8844539,8.25
46.5899,-105.9907,
31.696517,-103.6295393,
40.9298,-103.6322,
42.9769,-116.2777,
43.9056575,-118.2907316,
31.793139,-103.2134903,
31.9609739,-103.0854761,
42.9689803,-116.4829623,
