grecord_,name,kgra,wellspring,api,waringno,country,state,county,latitude,longitude,t,r,sec,qsections,bmeridian,mreference,geoprovinc,localityin,sourcetype,pcollect,samplenum,cdate,collector,blank,deposits,treatment,lithology,sampleinfo,sampleinfa,adate,analyst,units,ameas,temp,dtemp,flow,amtemp,depth,gradient,whpressure,pressure1,pressure2,pressure3,steamflow,tflowenth,ph,phtemp,gravity,conductanc,alkalinity,tds,tss,ag,al,as,au,b,ba,be,bi,br,ca,camg,cd,cl,co,co3,cr,cs,cu,f,fe3,fetotal,ga,ge,hco3,hg,h2s,i,k,li,mg,mn,mo,na,nak,nb,nh4,ni,no3,pb,po4,rb,s,sb,sc,se,sio2,sn,so4,sr,ta,ti,u,v,w,zn,dwater,owater18,oso418,sh2s34,sh2s34rev,c13co2,tritium,c14ofc02,otheradata,qualifinfo,reference,rorganizat
73154,RAINBOW HOT SPRING,,,,,UNITED STATES,COLORADO,MINERAL,37-30.57 N,106-56.87 W,38N,001W,09,,,SPAR CITY 1:62500,14,,SPRING,,,1975/09/00,,,,,,,,,,MG/L,HCO3,40.0,,170.0,,,,,,,,,,,,,220.0,85.0,161.0,,,0.04,,,0.05,0.001,,,,2.1,,,0.7,,,,,0.001,2.2,,0.08,,,85.0,,,,0.2,0.01,0.2,0.01,,45.0,,,,,,0.001,,,,,,,,,30.0,0.042,,,,,,0.01,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73158,RANGER WARM SPRING,,,,,UNITED STATES,COLORADO,GUNNISON,38-48.95 N,106-52.47 W,14S,085W,22,SW OF SE,,CEMENT MTN. 1:24000,,,SPRING,,,1976/04/00,,L/MIN,,,,,,,,MG/L,HCO3,27.0,,,,,,,,,,,,7.1,,,760.0,363.0,474.0,,,,,,0.08,,,,,71.0,,,19.0,,,,,,1.9,,0.01,,,363.0,,,,8.2,,23.0,,,63.0,,,,,0.14,,,,,,,,19.0,,89.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73156,RANGER WARM SPRING,,,,,UNITED STATES,COLORADO,GUNNISON,38-48.95 N,106-52.47 W,14S,085W,22,SW OF SE,,CEMENT MTN. 1:24000,,,SPRING,,,1975/10/00,,L/MIN,,,,,,,,MG/L,HCO3,27.0,,,,,,,,,,,,7.1,,,730.0,363.0,465.0,,,,0.015,,0.08,,,,,70.0,,,18.0,,,,,,0.2,,0.02,,,363.0,,,,7.7,0.16,20.0,,,61.0,,,,,0.08,,,,,,,,18.0,,90.0,,,,,,,0.01,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73157,RANGER WARM SPRING,,,,,UNITED STATES,COLORADO,GUNNISON,38-48.95 N,106-52.47 W,14S,085W,22,SW OF SE,,CEMENT MTN. 1:24000,,,SPRING,,,1976/01/00,,L/MIN,,,,,,,,MG/L,HCO3,27.0,,,,,,,,,,,,6.9,,,760.0,332.0,466.0,,,,,,0.08,,,,,72.0,,,19.0,,,,,,1.5,,,,,332.0,,,,8.1,,20.0,,,62.0,,,,,0.12,,,,,,,,19.0,,100.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73155,RANGER WARM SPRING,,,,,UNITED STATES,COLORADO,GUNNISON,38-48.95 N,106-52.47 W,14S,085W,22,SW OF SE,,CEMENT MTN. 1:24000,14,,SPRING,,,1975/07/00,,L/MIN,,,,,,,,MG/L,HCO3,26.0,,500.0,,,,,,,,,,,,,700.0,347.0,461.0,,,0.1,0.012,,0.08,0.14,,,,73.0,,,17.0,,,,,0.008,1.8,,0.01,,,347.0,,,,7.2,0.14,22.0,,,59.0,,,,,0.1,0.004,0.03,,,,,,20.0,,89.0,0.36,,,,,,0.03,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73159,RHODES WARM SPRING,,,,,UNITED STATES,COLORADO,PARK,39-09.82 N,106-03.88 W,10S,078W,24,NW OF SW,,FAIRPLAY WEST 1:24000,,,SPRING,,,1975/06/00,,,,,,,,,,MG/L,HCO3,24.0,,,,,,,,,,,,8.2,,,340.0,197.0,186.0,,,0.005,0.001,,0.03,0.18,,,,33.0,,,1.8,,,,,0.001,0.2,,0.02,,,197.0,,,,1.0,0.01,21.0,0.005,,5.5,,,,,0.21,0.002,,,,,,,11.0,,14.0,0.065,,,,,,0.02,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73160,RHODES WARM SPRING,,,,,UNITED STATES,COLORADO,PARK,39-09.82 N,106-03.88 W,10S,078W,24,NW OF SW,,FAIRPLAY WEST 1:24000,14,,SPRING,,,1975/10/00,,L/MIN,,,,,,,,MG/L,HCO3,25.0,,757.0,,,,,,,,,,6.5,,,340.0,202.0,194.0,,,,0.001,,0.02,0.18,,,,32.0,,,4.1,,,,,,0.3,,0.04,,,202.0,,,,1.2,0.02,19.0,0.01,,8.6,,,,,0.16,,,,,,,,12.0,,16.0,0.065,,,,,,0.01,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73163,RICO AREA: BIG GEYSER WARM SPRING,,,,,UNITED STATES,COLORADO,DOLORES,37-42.00 N,108-01.73 W,40N,011W,,,,RICO 1:24000,,,SPRING,,,1976/04/00,,L/MIN,,,,,,,,MG/L,HCO3,36.0,,45.0,,,,,,,,,,6.8,,,3100.0,1650.0,2740.0,,,,,,0.07,,,,,690.0,,,4.3,,,,,,1.5,,8.5,,,1650.0,,,,31.0,,93.0,4.4,,67.0,,,,,0.01,,0.55,,,,,,140.0,,920.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",U.S. GEOLOGICAL SURVEY
73162,RICO AREA: BIG GEYSER WARM SPRING,,,,,UNITED STATES,COLORADO,DOLORES,37-42.00 N,108-01.73 W,40N,011W,,,,RICO 1:24000,,,SPRING,,,1975/09/00,,L/MIN,,,,,,,,MG/L,HCO3,34.0,,30.0,,,,,,,,,,,,,3250.0,1700.0,2750.0,,,,0.031,,0.08,,,,,680.0,,,4.1,,,,,,2.1,,8.3,,,1700.0,,,,30.0,0.25,98.0,3.1,,78.0,,,,,0.05,,0.25,,,,,,110.0,,900.0,,,,,,,1.0,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73161,RICO AREA: DIAMOND DRILL HOLE,,,,,UNITED STATES,COLORADO,DOLORES,37-42.08 N,108-01.75 W,40N,011W,,,,RICO 1:24000,14,LOCATED APPROX 100 YDS NW OF LITTLE SPRING IN MIDDLE OF FLOODPLAIN.,WELL,,,1976/01/00,,L/MIN,,,,,,,,MG/L,HCO3,44.0,,57.0,,,,,,,,,,7.0,,,2710.0,1120.0,2250.0,,,,,,0.07,,,,,590.0,,,2.4,,,,,,1.4,,0.03,,,1120.0,,,,28.0,,82.0,1.3,,66.0,,,,,0.07,,0.25,,,,,,120.0,,810.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",U.S. GEOLOGICAL SURVEY
73164,RICO AREA: GEYSER WARM SPRING,,,,,UNITED STATES,COLORADO,DOLORES,37-42.03 N,108-01.73 W,40N,011W,,,,RICO 1:24000,,,SPRING,,,1975/09/00,,L/MIN,,,,,,,,MG/L,HCO3,38.0,,53.0,,,,,,,,,,,,,3200.0,1730.0,2790.0,,,0.13,0.026,,0.08,0.034,,,,680.0,,,3.9,,,,,0.004,2.1,,8.5,,,1730.0,,,,32.0,0.25,100.0,1.9,,80.0,,,,,0.02,0.017,0.28,,,,,,110.0,,920.0,6.7,,,,,,0.08,,,,,,,,,,,"BARRETT AND PEARL, 1976",U.S. GEOLOGICAL SURVEY
73165,RICO AREA: LITTLE SPRING,,,,,UNITED STATES,COLORADO,DOLORES,37-42.07 N,108-01.73 W,40N,011W,,,,RICO 1:24000,,,SPRING,,,1975/09/00,,L/MIN,,,,,,,,MG/L,HCO3,38.0,,49.0,,,,,,,,,,,,,4700.0,1710.0,2790.0,,,,0.026,,0.09,,,,,620.0,,,2.3,,,,,,1.5,,4.8,,,1710.0,0.0001,,,5.6,0.21,110.0,1.5,,76.0,,,,,0.05,,0.25,,,,,,120.0,,1000.0,,,,,,,0.1,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73166,RICO AREA: LITTLE SPRING,,,,,UNITED STATES,COLORADO,DOLORES,37-42.07 N,108-01.73 W,40N,011W,,,,RICO 1:24000,,,SPRING,,,1976/01/00,,L/MIN,,,,,,,,MG/L,HCO3,39.0,,57.0,,,,,,,,,,7.0,,,3350.0,1450.0,2700.0,,,,,,0.07,,,,,690.0,,,3.0,,,,,,4.8,,7.4,,,1450.0,,,,32.0,,92.0,1.6,,77.0,,,,,0.08,,0.34,,,,,,120.0,,960.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",U.S. GEOLOGICAL SURVEY
397,ROUTT HOT SPRINGS,,,,,UNITED STATES,COLORADO,ROUTT,40-33.60 N,106-51.00 W,,,,,,,,,SPRING,,,,,,,,,,,1912/00/00,,,,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,137.0,,,,,,,,,,,141.0,,,,11.0,,,,,162.0,,,,,,,,,,,,,88.0,,44.0,,,,,,,,,,,,,,,,,,"GEORGE AND OTHERS, 1920",U.S. GEOLOGICAL SURVEY
73167,ROUTT HOT SPRINGS: SPRING A,,,,,UNITED STATES,COLORADO,ROUTT,40-33.57 N,106-51.00 W,07N,084W,18,SW OF SE,,ROCKY PEAK 1:24000,,LOCATED SOUTH OF CREEK AND APPROX. 100 FEET UP THE HILLSIDE.,SPRING,,,1975/07/00,,L/MIN,,,,,,,,MG/L,HCO3,64.0,,125.0,,,,,,,,,,7.6,,,830.0,136.0,552.0,,,0.07,0.038,,0.28,0.016,,,,13.0,,,140.0,,,,,0.001,18.0,,,,,136.0,,,,9.0,0.29,0.4,,,160.0,,,,,,0.004,0.03,,,,,,97.0,,47.0,0.36,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73168,ROUTT HOT SPRINGS: SPRING A,,,,,UNITED STATES,COLORADO,ROUTT,40-33.57 N,106-51.00 W,07N,084W,18,SW OF SE,,ROCKY PEAK 1:24000,,LOCATED SOUTH OF CREEK AND APPROX. 100 FEET UP THE HILLSIDE.,SPRING,,,1975/10/00,,L/MIN,,,,,,,,MG/L,HCO3,64.0,,189.0,,,,,,,,,,6.5,,,890.0,138.0,518.0,,,,0.085,,0.29,,,,,7.3,,,130.0,,,,,,14.0,,0.06,,,138.0,,,,8.3,0.42,0.2,0.01,,160.0,,,,,,,0.06,,,,,,80.0,,49.0,,,,,,,0.01,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73169,ROUTT HOT SPRINGS: SPRI ING A,,,,,UNITED STATES,COLORADO,ROUTT,40-33.57 N,106-51.00 W,07N,084W,18,SW OF SE,,ROCKY PEAK 1:24000,,LOCATED SOUTH OF CREEK AND APPROX. 100. FEET UP THE HILLSIDE.,SPRING,,,1976/01/00,,L/MIN,,,,,,,,MG/L,HCO3,64.0,,95.0,,,,,,,,,,9.3,,,810.0,139.0,521.0,,,,,,0.26,,,,,7.7,,,120.0,,,,,,16.0,,,,,139.0,,,,8.5,,0.1,,,160.0,,,,,0.01,,0.12,,,,,,86.0,,54.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73172,ROUTT HOT SPRINGS: SPRING C,,,,,UNITED STATES,COLORADO,ROUTT,40-33.57 N,106-50.98 W,07N,084W,18,SW OF SE,,ROCKY PEAK 1:24000,,LOCATED APPROX. 50 FEET EAST OF SPRING A.,SPRING,,,,,L/MIN,,,,,,,,,,54.0,,7.6,,,,,,,,,,,,,860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73170,ROUTT HOT SPRINGS: SPRING A,,,,,UNITED STATES,COLORADO,ROUTT,40-33.57 N,106-51.00 W,07N,084W,18,SW OF SE,,ROCKY PEAK 1:24000,,,SPRING,,,1976/04/00,,L/MIN,,,,,,,,MG/L,HCO3,64.0,,132.0,,,,,,,,,,7.8,,,1000.0,139.0,527.0,,,,,,0.28,,,,,7.7,,,130.0,,,,,,17.0,,0.11,,,139.0,,,,8.8,,0.1,0.01,,160.0,,,,,0.02,,0.15,,,,,,89.0,,45.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",U.S. GEOLOGICAL SURVEY
73171,ROUTT HOT SPRINGA: SPRING B,,,,,UNITED STATES,COLORADO,ROUTT,40-33.58 N,106-50.98 W,07N,084W,18,SW OF SE,,ROCKY PEAK 1:24000,,,SPRING,,,1975/07/00,,L/MIN,,,,,,,,MG/L,HCO3,62.0,,114.0,,,,,,,,,,7.1,,,770.0,135.0,539.0,,,0.15,0.1,,0.28,0.02,,,,7.8,,,130.0,,,,,0.004,17.0,,0.08,,,135.0,0.0001,,,9.1,0.31,0.5,0.01,,160.0,,,,,,0.004,0.06,,,,,,98.0,,49.0,0.38,,,,,,0.006,,,,,,,,,,,"BARRETT AND PEARL, 1976",U.S. GEOLOGICAL SURVEY
73173,ROUTT HOT SPRINGS: SPRING D,,,,,UNITED STATES,COLORADO,ROUTT,40-33.57 N,106-50.97 W,07N,084W,18,SW OF SE,,ROCKY PEAK 1:24000,,LOCATED APPROX. 40 FEET SOUTHEAST OF SPRING C.,SPRING,,,,,L/MIN,,,,,,,,,,51.0,,7.6,,,,,,,,,,,,,830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73174,SAND DUNES SWIMMING POOL: HOT WATER WELL,,,,,UNITED STATES,COLORADO,ALAMOSA,37-46.42 N,105-51.20 W,41N,010E,27,NE OF NE,,DEADMAN CAMP 1:24000,,,WELL,,,1975/08/00,,,,,,,,,,MG/L,HCO3,44.0,,,,,,,,,,,,8.3,,,385.0,176.0,334.0,,,0.002,0.144,,0.51,0.017,,,,3.2,,,4.7,,,,,0.001,5.9,,0.01,,,176.0,,,,8.6,0.01,0.4,,,81.0,,,,,,0.003,0.18,,,,,,120.0,,23.0,0.03,,,,,,0.01,,,,,,,,,,,"BARRETT AND PEARL, 1976",U.S. GEOLOGICAL SURVEY
73175,SHAWS WARM SPRING,,,,,UNITED STATES,COLORADO,SAGUACHE,37-45.02 N,106-19.02 W,41N,006E,33,SE OF SE,,TWIN MOUNTAINS SE 1:24000,,,SPRING,,,1975/08/00,,L/MIN,,,,,,,,MG/L,HCO3,30.0,,129.0,,,,,,,,,,9.3,,,550.0,121.0,406.0,,,0.04,,,0.13,0.003,,,,0.9,,,7.5,,69.0,,,0.001,3.1,,0.04,,,121.0,,,,1.5,0.01,0.6,,,130.0,,,,,0.01,0.003,0.12,,,,,,83.0,,50.0,0.01,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73176,SHAWS WARM SPRING,,,,,UNITED STATES,COLORADO,SAGUACHE,37-45.02 N,106-19.02 W,41N,006E,33,SE OF SE,,TWIN MOUNTAINS SE 1:24000,,,SPRING,,,1975/10/00,,L/MIN,,,,,,,,MG/L,HCO3,30.0,,129.0,,,,,,,,,,9.3,,,540.0,114.0,402.0,,,,,,0.14,,,,,0.5,,,7.2,,77.0,,,,2.9,,0.02,,,114.0,,,,1.4,0.01,0.3,,,130.0,,,,,0.02,,0.09,,,,,,73.0,,53.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73177,SHAWS WARM SPRING,,,,,UNITED STATES,COLORADO,SAGUACHE,37-45.02 N,106-19.02 W,41N,006E,33,SE OF SE,,TWIN MOUNTAINS SE 1:24000,15,,SPRING,,,1976/01/00,,L/MIN,,,,,,,,MG/L,HCO3,30.0,,197.0,,,,,,,,,,9.0,,,569.0,154.0,424.0,,,,,,0.12,,,,,2.7,,,7.3,,57.0,,,,3.0,,0.01,,,154.0,,,,1.5,,0.7,,,130.0,,,,,0.02,,0.15,,,,,,100.0,,46.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73179,SOUTH CANYON HOT SPRINGS: SPRING A,,,,,UNITED STATES,COLORADO,GARFIELD,39-33.27 N,107-23.88 W,06S,090W,02,SE OF SW,,STORM KING MOUNTAIN 1:24000,,,SPRING,,,1975/07/00,,L/MIN,,,,,,,,MG/L,HCO3,48.0,,45.0,,,,,,,,,,7.1,,,1300.0,302.0,794.0,,,0.075,0.002,,0.21,0.12,,,,7.0,,,190.0,,,,,0.005,4.2,,0.02,,,302.0,,,,8.2,0.15,1.0,0.04,,280.0,,,,,0.04,0.005,0.06,,,,,,44.0,,110.0,0.23,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73181,SOUTH CANYON HOT SPRINGS: SPRING A,,,,,UNITED STATES,COLORADO,GARFIELD,39-33.27 N,107-23.88 W,06S,090W,02,SE OF SW,,STORM KING MOUNTAIN 1:24000,,,SPRING,,,1976/01/00,,L/MIN,,,,,,,,MG/L,HCO3,48.0,,34.0,,,,,,,,,,,,,1220.0,306.0,783.0,,,,,,0.29,,,,,7.9,,,200.0,,,,,,4.0,,0.01,,,306.0,,,,8.2,,2.2,0.05,,270.0,,,,,0.01,,0.03,,,,,,45.0,,94.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73180,SOUTH CANYON HOT SPRINGS: SPRING A,,,,,UNITED STATES,COLORADO,SAGUACHE,39-33.27 N,107-23.88 W,06S,090W,02,SE OF SW,,STORM KING MOUNTAIN 1:24000,,,SPRING,,,1975/10/00,,L/MIN,,,,,,,,MG/L,HCO3,48.0,,26.0,,,,,,,,,,7.6,,,1300.0,303.0,800.0,,,,0.001,,0.26,,,,,7.7,,,210.0,,,,,,3.0,,0.03,,,303.0,,,,8.0,0.15,1.4,0.04,,280.0,,,,,0.19,,0.06,,,,,,39.0,,100.0,,,,,,,0.01,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73183,SOUTH CANYON HOT SPRINGS: SPRING B,,,,,UNITED STATES,COLORADO,GARFIELD,39-33.25 N,107-23.85 W,06S,090W,02,SE OF SW,,STORM KING MOUNTAIN 1:24000,,,SPRING,,,1975/07/00,,L/MIN,,,,,,,,MG/L,HCO3,48.0,,,,,,,,,,,,7.1,,,1300.0,291.0,757.0,,,,0.002,,0.23,,,,,7.1,,,190.0,,,,,,4.0,,0.04,,,291.0,,,,7.8,0.15,0.9,0.05,,260.0,,,,,0.01,,0.03,,,,,,43.0,,100.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73182,SOUTH CANYON HOT SPRINGS: SPRING A,,,,,UNITED STATES,COLORADO,GARFIELD,39-33.27 N,107-23.88 W,06S,090W,02,SE OF SW,,STORM KING MOUNTAIN 1:24000,14,,SPRING,,,1976/04/00,,L/MIN,,,,,,,,MG/L,HCO3,47.0,,64.0,,,,,,,,,,7.3,,,1100.0,305.0,772.0,,,,,,0.26,,,,,7.8,,,190.0,,,,,,3.5,,0.03,,,305.0,,,,8.2,,0.9,0.05,,270.0,,,,,0.07,,0.03,,,,,,41.0,,100.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
399,STEAMBOAT SPRINGS,,,,,UNITED STATES,COLORADO,ROUTT,40-29.10 N,106-50.30 W,,,,,,,,,SPRING,,,,,,,,,,,1912/00/00,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,,1345.0,,,,,,,,,,,3253.0,,,,155.0,,,,,2047.0,,,,,,,,,,,,,85.0,,486.0,,,,,,,,,,,,,,,,,,"GEORGE AND OTHERS, 1920",U.S. GEOLOGICAL SURVEY
73186,STEAMBOAT SPRINGS AREA: SULPHUR CAVE SPRING,,,,,UNITED STATES,COLORADO,ROUTT,40-29.03 N,106-50.38 W,06N,084W,17,NW OF SE NW,,STEAMBOAT SPRINGS 1:24000,,,SPRING,,,1976/04/00,,L/MIN,,,,,,,,MG/L,HCO3,20.0,,38.0,,,,,,,,,,6.5,,,5800.0,2420.0,4530.0,,,,0.045,,2.9,,,,,90.0,,,1000.0,,,,,,3.0,,0.06,,,2420.0,,,,110.0,3.0,24.0,0.31,,1600.0,,,,,,,0.18,,,,,,18.0,,490.0,,,,,,,0.01,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73185,STEAMBOAT SPRINGS AREA: HEART HOT SPRING,,,,,UNITED STATES,COLORADO,ROUTT,40-28.97 N,106-49.62 W,06N,084W,17,NW OF SE NE,,STEAMBOAT SPRINGS 1:24000,14,LOCATED AT EAST END OF MAIN STREET.,SPRING,,,1976/04/00,,L/MIN,,,,SUPPLIES WATER TO SWIMMING POOL.,,,,MG/L,HCO3,39.0,,530.0,,,,,,,,,,8.0,,,1450.0,103.0,903.0,,,,0.005,,0.7,,,,,18.0,,,320.0,,,,,,1.9,,0.04,,,103.0,,,,11.0,0.35,1.0,,,300.0,,,,,0.04,,0.06,,,,,,49.0,,150.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73187,STEAMBOAT SPRINGS AREA: STEAMBOAT SPRING,,,,,UNITED STATES,COLORADO,ROUTT,40-29.30 N,106-50.45 W,06N,084W,08,NE OF SE SE,,STEAMBOAT SPRINGS 1:24000,14,,SPRING,,,1976/04/00,,L/MIN,,,,,,,,MG/L,HCO3,26.0,,76.0,,,,,,,,,,6.7,,,9130.0,3390.0,6170.0,,,,0.13,,3.2,,,,,110.0,,,1400.0,,,,,,2.9,,0.01,,,3390.0,,,,140.0,3.7,31.0,0.38,,2200.0,,,,,0.16,,0.21,,,,,,21.0,,590.0,,,,,,,0.03,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73188,STINKING SPRINGS,,,,,UNITED STATES,COLORADO,ARCHULETA,37-02.08 N,106-48.42 W,32N,001E,02,SE OF SE,,CHROMO 1:62500,14,,SPRING,,,1975/09/00,,L/MIN,,,,,,,,MG/L,HCO3,27.0,,91.0,,,,,,,,,,,,,1250.0,258.0,899.0,,,0.044,,,0.06,0.037,,,,210.0,,,7.3,,,,,0.001,0.6,,0.14,,,258.0,,,,12.0,0.09,27.0,0.12,,20.0,,,,,,0.005,,,,,,,24.0,,470.0,1.7,,,,,,0.01,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73190,SWISSVALE WARM SPRINGS: SPRING F,,,,,UNITED STATES,COLORADO,FREMONT,38-28.82 N,105-53.47 W,49N,010E,20,NE OF SE SW,,HOWARD 1:62500,,LOCATED APPROX. 350 FEET WEST OF SPRING A AND ABOUT 20 FT ABOVE THE RIVER BANK.,SPRING,,,,,L/MIN,,,,,,,,,,20.0,,76.0,,,,,,,,,,7.0,,,775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73189,SWISSVALE WARM SPRINGS: SPRING A,,,,,UNITED STATES,COLORADO,FREMONT,38-28.82 N,105-53.42 W,49N,010E,20,NE OF SE SW,,HOWARD 1:62500,15,LOCATED 30 FEET SOUTH OF U.S. BUREAU OF LAND MANAGEMENT CADASTRAL SURVEY MARKER.,SPRING,,,,,L/MIN,,,,,,,,,,28.0,,473.0,,,,,,,,,,7.0,,,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73191,TRIMBLE HOT SPRING,,,,,UNITED STATES,COLORADO,LA PLATA,37-23.47 N,107-50.87 W,36N,009W,15,NW OF NW,,HERMOSA 1:24000,14,,SPRING,,,1975/09/00,,L/MIN,,,,,,,,MG/L,HCO3,36.0,,4.0,,,,,,,,,,,,,4400.0,1090.0,3340.0,,,0.04,0.017,,1.4,0.015,,,,510.0,,,220.0,,,,,0.003,2.7,,0.05,,,1090.0,,,,47.0,1.6,42.0,0.08,,510.0,,,,,0.08,0.01,0.06,,,,,,72.0,,1400.0,4.5,,,,,,0.01,,,,,,,,,,,"BARRETT AND PEARL, 1976",U.S. GEOLOGICAL SURVEY
73192,TRIPP HOT SPRING,,,,,UNITED STATES,COLORADO,LA PLATA,37-23.50 N,107-50.87 W,36N,009W,10,SW OF SW,,HERMOSA 1:24000,14,,SPRING,,,1975/09/00,,,,,,,,,,MG/L,HCO3,44.0,,,,,,,,,,,,,,,3900.0,988.0,3240.0,,,0.16,0.017,,1.5,0.035,,,,470.0,,,220.0,,,,,0.005,2.7,,0.01,,,988.0,,,,47.0,1.6,41.0,0.08,,500.0,,,,,0.16,0.02,0.15,,,,,,69.0,,1400.0,7.5,,,,,,0.02,,,,,,,,,,,"BARRETT AND PEARL, 1976",U.S. GEOLOGICAL SURVEY
73184,UNNAMED WARM SPRING,,,,,UNITED STATES,COLORADO,ALAMOSA,37-29.32 N,105-51.45 W,38N,010E,34,SE OF SE,,ALAMOSA EAST 1:24000,,,WELL,,,1975/08/00,,,,,,,,,,MG/L,HCO3,40.0,,,,,,,,,,,,8.3,,,365.0,151.0,311.0,,,0.03,0.065,,0.34,0.035,,,,4.1,,,6.4,,,,,0.002,4.2,,0.02,,,151.0,,,,9.9,0.01,0.4,,,72.0,,,,,,0.002,0.15,,,,,,110.0,,29.0,0.042,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",U.S. GEOLOGICAL SURVEY
73194,VALLEY VIEW HOT SPRINGS: SPRING A,,,,,UNITED STATES,COLORADO,SAGUACHE,38-11.53 N,105-48.82 W,46N,010E,36,NW OF SE,,VALLEY VIEW HOT SPRINGS 1:24000,,LOCATED APPROX. 300 FEET EAST OF OLD SWIMMING POOL,SPRING,,,1975/10/00,,L/MIN,,,,,,,,MG/L,HCO3,36.0,,,,,,,,,,,,6.5,,,384.0,124.0,249.0,,,,0.001,,0.01,,,,,50.0,,,1.5,,,,,,0.4,,0.02,,,124.0,,,,2.6,0.01,14.0,0.01,,3.7,,,,,0.11,,,,,,,,20.0,,95.0,,,,,,,0.01,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
73200,VALLEY VIEW HOT SPRINGS: SPRING D,,,,,UNITED STATES,COLORADO,SAGUACHE,38-11.38 N,105-48.58 W,46N,010E,36,,,VALLEY VIEW HOT SPRINGS 1:24000,,LOCATED 1200 FEET SOUTHEAST OF SPRING A AND 300 FEET UP THE HILLSIDE.,SPRING,,,1976/04/00,,L/MIN,,,,,,,,MG/L,HCO3,36.0,,,,,,,,,,,,7.5,,,361.0,125.0,223.0,,,,,,0.22,,,,,50.0,,,0.6,,,,,,0.4,,0.02,,,125.0,,,,2.5,,13.0,,,2.6,,,,,0.15,,0.03,,,,,,18.0,,73.0,,,,,,,,,,,,,,,,,,"BARRETT AND PEARL, 1976",COLORADO GEOLOGICAL SURVEY
