discovery_id,lat,lon,province,structural_setting,system_type,T_res_central,area_km2,n_cells,p_mean,p_std,dist_to_max_km,dist_to_nearest_qfault_km,dist_to_nearest_volc_km,mwe_p10,mwe_p50,mwe_p90
39,39.5040115,-117.23306841666668,Basin_and_Range,Walker Lane,flash-plant grade (>=200 deg C),200.5433088541031,192.0,12,0.9995545744895936,0.0002953543735202,5.4,2.818375784789567,233.71513478119232,75.74611176115275,203.7089183377409,531.2959203568481
38,39.163197454545454,-118.0151980909091,Other,Walker Lane,flash-plant grade (>=200 deg C),205.3598117828369,176.0,11,0.999522626399994,0.0003144324582535,6.8,3.179887182056439,164.9853586289446,70.93433929882762,199.2308172307425,507.50676267583066
90,42.96550500000001,-118.226706,Other,other,flash-plant grade (>=200 deg C),238.3064103126526,80.0,5,0.9994955062866212,0.0003000015276484,24.3,3.4939067123199528,264.9008519707478,68.79820922356156,174.38574223912747,429.2617312585482
77,42.27080966666666,-118.98033516666668,Other,other,flash-plant grade (>=200 deg C),220.12805700302124,96.0,6,0.999460220336914,0.0003030645893886,7.1,4.819196993104081,246.62379465807834,57.98822058077707,151.55407872904613,393.2224327191259
26,38.34219744444445,-122.37323866666668,Other,other,binary-cycle grade (180-200 deg C),197.8701001405716,144.0,9,0.9994990229606628,0.0003191727155353,20.4,1.5459121961892002,249.67147534730023,54.21689266048275,140.09640202212356,372.46659329738543
96,43.56198260000001,-121.688401,Cascades,Cascades arc,flash-plant grade (>=200 deg C),221.46535396575928,80.0,5,0.9995468258857728,0.0001930020225699,23.1,0.8166082554973991,40.75042344966446,45.05541089765033,121.89514719862696,322.4824198706538
17,37.683435,-115.187165,Basin_and_Range,other,flash-plant grade (>=200 deg C),216.170506477356,80.0,5,0.999445915222168,0.0003488888032734,23.6,1.6132116344508036,284.6723018750836,42.05251493129638,112.90174660108198,308.7392229451989
41,39.93691242857143,-119.91399814285715,Other,Walker Lane,binary-cycle grade (180-200 deg C),188.9348530769348,112.0,7,0.9995349645614624,0.0002617852878756,10.6,0.3050261027797571,146.82106246900875,33.964839714183086,90.33453211054308,237.84675890717804
32,38.85124016666667,-116.75227866666668,Basin_and_Range,other,binary-cycle grade (180-200 deg C),194.96258199214932,96.0,6,0.9994781017303468,0.0002515015366952,23.7,6.048685613514894,217.24015545064475,34.18341055663792,86.57477067891543,229.8502282938751
35,39.036889333333335,-117.666952,Basin_and_Range,Walker Lane,flash-plant grade (>=200 deg C),208.1533378362656,48.0,3,0.9996561408042908,0.0001506237749708,6.0,3.9265901085798176,170.50861300178374,21.138344015202428,55.95062469996853,156.07399013454304
